date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,136.74,136.99,135.55,135.95,712317
2026-06-08T09:20:00+05:30,135.95,135.95,135.44,135.6,515095
2026-06-08T09:25:00+05:30,135.59,135.9,135.43,135.87,345361
2026-06-08T09:30:00+05:30,135.88,136.79,135.84,136.59,405813
2026-06-08T09:35:00+05:30,136.58,136.6,136.3,136.49,164752
2026-06-08T09:40:00+05:30,136.53,136.88,136.38,136.45,161230
2026-06-08T09:45:00+05:30,136.45,136.68,136.4,136.4,104130
2026-06-08T09:50:00+05:30,136.36,136.69,136.28,136.67,109170
2026-06-08T09:55:00+05:30,136.68,136.82,136.63,136.81,116249
2026-06-08T10:00:00+05:30,136.81,136.81,136.46,136.5,96358
2026-06-08T10:05:00+05:30,136.52,136.69,136.33,136.64,124496
2026-06-08T10:10:00+05:30,136.56,136.69,136.55,136.59,56245
2026-06-08T10:15:00+05:30,136.55,136.65,136.5,136.62,54043
2026-06-08T10:20:00+05:30,136.66,136.69,136.55,136.66,43659
2026-06-08T10:25:00+05:30,136.66,136.66,136.36,136.41,48795
2026-06-08T10:30:00+05:30,136.41,136.89,136.36,136.62,108245
2026-06-08T10:35:00+05:30,136.7,136.99,136.7,136.87,190213
2026-06-08T10:40:00+05:30,136.87,136.93,136.6,136.67,73819
2026-06-08T10:45:00+05:30,136.67,136.88,136.62,136.85,84593
2026-06-08T10:50:00+05:30,136.88,136.94,136.78,136.8,62532
2026-06-08T10:55:00+05:30,136.83,136.91,136.76,136.9,55907
2026-06-08T11:00:00+05:30,136.92,136.92,136.67,136.73,72369
2026-06-08T11:05:00+05:30,136.73,136.82,136.57,136.73,86855
2026-06-08T11:10:00+05:30,136.73,136.73,136.6,136.65,24288
2026-06-08T11:15:00+05:30,136.63,136.69,136.55,136.56,36461
2026-06-08T11:20:00+05:30,136.58,136.63,136.36,136.48,70990
2026-06-08T11:25:00+05:30,136.48,136.64,136.4,136.57,107798
2026-06-08T11:30:00+05:30,136.57,136.57,136.31,136.34,35936
2026-06-08T11:35:00+05:30,136.34,136.43,136.3,136.4,38598
2026-06-08T11:40:00+05:30,136.4,136.4,136.23,136.39,45454
2026-06-08T11:45:00+05:30,136.39,136.47,136.38,136.45,71835
2026-06-08T11:50:00+05:30,136.45,136.47,136.35,136.38,55529
2026-06-08T11:55:00+05:30,136.38,136.57,136.35,136.54,59375
2026-06-08T12:00:00+05:30,136.54,136.55,136.4,136.47,36975
2026-06-08T12:05:00+05:30,136.47,136.48,136.35,136.38,29520
